folder,filename,type,kb,dimensions,referenced,used_in,site_url,origin,sha256,owner,last_reviewed
docs,Adrian-Hammond-2009-10.pdf,PDF,91,n/a,YES,site-data.js,https://rdca-sportsweb-version2.vercel.app/docs/Adrian-Hammond-2009-10.pdf,Migrated from the old Wix site (www.rdca.com/_files/ugd/) unless noted,85b2096c1b965aa6,UNCONFIRMED,NOT RECORDED
docs,Adverse-Weather-Policy-2026-27.pdf,PDF,577,n/a,YES,site-data.js,https://rdca-sportsweb-version2.vercel.app/docs/Adverse-Weather-Policy-2026-27.pdf,Migrated from the old Wix site (www.rdca.com/_files/ugd/) unless noted,bfeeda3af3e1802e,UNCONFIRMED,NOT RECORDED
docs,Ball-Ordering-Instructions.pdf,PDF,876,n/a,YES,site-data.js,https://rdca-sportsweb-version2.vercel.app/docs/Ball-Ordering-Instructions.pdf,Migrated from the old Wix site (www.rdca.com/_files/ugd/) unless noted,f04fa7a34b8d27ba,UNCONFIRMED,NOT RECORDED
docs,Big-Bash-Over-40s-T20-Rules-2026.docx,DOCX,44,n/a,YES,site-data.js,https://rdca-sportsweb-version2.vercel.app/docs/Big-Bash-Over-40s-T20-Rules-2026.docx,Migrated from the old Wix site (www.rdca.com/_files/ugd/) unless noted,804e12ddab7f1812,UNCONFIRMED,NOT RECORDED
docs,Bill-Stafford-2012-13.pdf,PDF,132,n/a,YES,site-data.js,https://rdca-sportsweb-version2.vercel.app/docs/Bill-Stafford-2012-13.pdf,Migrated from the old Wix site (www.rdca.com/_files/ugd/) unless noted,48568aed11a45ed4,UNCONFIRMED,NOT RECORDED
docs,Business-Continuity-Plan.pdf,PDF,237,n/a,YES,site-data.js,https://rdca-sportsweb-version2.vercel.app/docs/Business-Continuity-Plan.pdf,Migrated from the old Wix site (www.rdca.com/_files/ugd/) unless noted,8c1f2c28e5ef1c18,UNCONFIRMED,NOT RECORDED
docs,Clearances-Transfers-Guide.pdf,PDF,451,n/a,YES,site-data.js,https://rdca-sportsweb-version2.vercel.app/docs/Clearances-Transfers-Guide.pdf,Migrated from the old Wix site (www.rdca.com/_files/ugd/) unless noted,19efa6ca6d850892,UNCONFIRMED,NOT RECORDED
docs,Club-Questionaire.doc,DOC,60,n/a,YES,site-data.js,https://rdca-sportsweb-version2.vercel.app/docs/Club-Questionaire.doc,Migrated from the old Wix site (www.rdca.com/_files/ugd/) unless noted,b853760a41a70964,UNCONFIRMED,NOT RECORDED
docs,Code-of-Conduct-Captains-2025-26.pdf,PDF,219,n/a,YES,site-data.js,https://rdca-sportsweb-version2.vercel.app/docs/Code-of-Conduct-Captains-2025-26.pdf,Migrated from the old Wix site (www.rdca.com/_files/ugd/) unless noted,0e78a93404100862,UNCONFIRMED,NOT RECORDED
docs,Code-of-Conduct-Players-2025-26.pdf,PDF,192,n/a,YES,site-data.js,https://rdca-sportsweb-version2.vercel.app/docs/Code-of-Conduct-Players-2025-26.pdf,Migrated from the old Wix site (www.rdca.com/_files/ugd/) unless noted,4a7b83bc51304d04,UNCONFIRMED,NOT RECORDED
