title,category,source_page,original_url,canonical_url,filename,declared_type,mime,bytes,sha256,http,is_real_file,host,in_repository,on_new_site,wix_dependency,status
Registration Form,Forms & Rules,new site /documents.html (site-data.js),https://www.rdca.com/_files/ugd/c846e3_7ca10e17623b49e8ad0a6e9e4b08f6c3.pdf,https://www.rdca.com/_files/ugd/c846e3_7ca10e17623b49e8ad0a6e9e4b08f6c3.pdf,c846e3_7ca10e17623b49e8ad0a6e9e4b08f6c3.pdf,pdf,application/pdf,77049,4cc807fee52870f0d70e0e143bace5b19fec78c965b742c5559d8e3be2588e06,200,YES,www.rdca.com,NO,LINKED ONLY (hot-linked to old host),YES,EXTERNAL-DEPENDENCY
Senior Rules 2026-27,Forms & Rules,new site /documents.html (site-data.js),https://www.rdca.com/_files/ugd/5d13eb_213140ec8e044fe589d6a95ab6b7af43.pdf,https://www.rdca.com/_files/ugd/5d13eb_213140ec8e044fe589d6a95ab6b7af43.pdf,5d13eb_213140ec8e044fe589d6a95ab6b7af43.pdf,pdf,application/pdf,1374426,ec9f566c1dd8350e9bce1c79df708d653aa5dc5e8805185d3aad4baad0d3713b,200,YES,www.rdca.com,NO,LINKED ONLY (hot-linked to old host),YES,EXTERNAL-DEPENDENCY
Adverse Weather Policy 2026-27,Forms & Rules,new site /documents.html (site-data.js),https://www.rdca.com/_files/ugd/5d13eb_5e0a952f27094f01815aa4c57eb5171a.pdf,https://www.rdca.com/_files/ugd/5d13eb_5e0a952f27094f01815aa4c57eb5171a.pdf,5d13eb_5e0a952f27094f01815aa4c57eb5171a.pdf,pdf,application/pdf,591243,bfeeda3af3e1802e18e4ab92f3b57ff5c1dfbdaf75375d081e68a6350645562d,200,YES,www.rdca.com,NO,LINKED ONLY (hot-linked to old host),YES,EXTERNAL-DEPENDENCY
Clearances & Transfers Guide,Forms & Rules,new site /documents.html (site-data.js),https://www.rdca.com/_files/ugd/c846e3_2337caa1f5584ee99832599a9812cdf3.pdf,https://www.rdca.com/_files/ugd/c846e3_2337caa1f5584ee99832599a9812cdf3.pdf,c846e3_2337caa1f5584ee99832599a9812cdf3.pdf,pdf,application/pdf,461315,19efa6ca6d8508921ee4a4ee4ecdb97d52491290b41fa93f687cf843cea32a32,200,YES,www.rdca.com,NO,LINKED ONLY (hot-linked to old host),YES,EXTERNAL-DEPENDENCY
Veterans Rules,Veterans,new site /documents.html (site-data.js),https://www.rdca.com/_files/ugd/c846e3_aab45fab5ef74cf2aae47e6b5b66bdc7.pdf,https://www.rdca.com/_files/ugd/c846e3_aab45fab5ef74cf2aae47e6b5b66bdc7.pdf,c846e3_aab45fab5ef74cf2aae47e6b5b66bdc7.pdf,pdf,application/pdf,150223,2007b5d5531d84f389909f8da69396f10a928517e2a9067dc6086a138c59d899,200,YES,www.rdca.com,NO,LINKED ONLY (hot-linked to old host),YES,EXTERNAL-DEPENDENCY
Big Bash (Over 40s T20) Rules 2026,Veterans,new site /documents.html (site-data.js),https://www.rdca.com/_files/ugd/bad3dd_bdb67564cd4347b49a516f68f16879f8.docx?dn=RDCA%20Big%20Bash%20Veterans%20T20%20Rules%202026.docx,https://www.rdca.com/_files/ugd/bad3dd_bdb67564cd4347b49a516f68f16879f8.docx,RDCA Big Bash Veterans T20 Rules 2026.docx,doc,application/vnd.openxmlformats-officedocument.wordprocessingml.document,44971,804e12ddab7f181273370ef93badf9db0467bd8c83fe13ab4fda05e2ba606e3b,200,YES,www.rdca.com,NO,LINKED ONLY (hot-linked to old host),YES,EXTERNAL-DEPENDENCY
Extreme Conditions Policy,Veterans,new site /documents.html (site-data.js),https://www.rdca.com/_files/ugd/c846e3_9c33b8f940324a8ab989d56220d4d6a6.pdf,https://www.rdca.com/_files/ugd/c846e3_9c33b8f940324a8ab989d56220d4d6a6.pdf,c846e3_9c33b8f940324a8ab989d56220d4d6a6.pdf,pdf,application/pdf,202553,0a8bf8669d9df461e35ee41c9a896fc718f0d3ce62bdb4d946f8523e2ef95ccf,200,YES,www.rdca.com,NO,LINKED ONLY (hot-linked to old host),YES,EXTERNAL-DEPENDENCY
Member Protection By Law,Veterans,new site /documents.html (site-data.js),https://www.rdca.com/_files/ugd/c846e3_0a2aae2dc6d949109796cb2c9c333793.pdf,https://www.rdca.com/_files/ugd/c846e3_0a2aae2dc6d949109796cb2c9c333793.pdf,c846e3_0a2aae2dc6d949109796cb2c9c333793.pdf,pdf,application/pdf,71437,c019c426c773593fbd0848f26c30025da2716af924b9337dc1587fcdd61d999b,200,YES,www.rdca.com,NO,LINKED ONLY (hot-linked to old host),YES,EXTERNAL-DEPENDENCY
Member Protection Policy,Veterans,new site /documents.html (site-data.js),https://www.rdca.com/_files/ugd/c846e3_a8fd9209cf6541a5968832c02220cf6a.pdf,https://www.rdca.com/_files/ugd/c846e3_a8fd9209cf6541a5968832c02220cf6a.pdf,c846e3_a8fd9209cf6541a5968832c02220cf6a.pdf,pdf,application/pdf,1742688,a4eaecb0c0028dae3f29b1932724a0879eec7a3bfe144e02d460f3df35b5ebc2,200,YES,www.rdca.com,NO,LINKED ONLY (hot-linked to old host),YES,EXTERNAL-DEPENDENCY
Clearances & Transfers Guide,Veterans,new site /documents.html (site-data.js),https://www.rdca.com/_files/ugd/c846e3_2337caa1f5584ee99832599a9812cdf3.pdf,https://www.rdca.com/_files/ugd/c846e3_2337caa1f5584ee99832599a9812cdf3.pdf,c846e3_2337caa1f5584ee99832599a9812cdf3.pdf,pdf,application/pdf,461315,19efa6ca6d8508921ee4a4ee4ecdb97d52491290b41fa93f687cf843cea32a32,200,YES,www.rdca.com,NO,LINKED ONLY (hot-linked to old host),YES,EXTERNAL-DEPENDENCY
