old_url,record_type,label,http,bytes,text_chars,tables,table_rows,new_url,new_equivalent,status,match_confidence,notes
https://honours.rdca.com/index.php?ID=allrounder,All-Rounder trophies,All Rounder Trophies,200,22127,2608,4,79,,NONE,MISSING,high,No equivalent on the new site. New site carries 42 table rows in total across all pages.
https://honours.rdca.com/index.php?ID=averages&grade=121,Batting/bowling averages (by grade),Under 12-1 Averages,200,21908,3076,1,48,,NONE,MISSING,high,No equivalent on the new site. New site carries 42 table rows in total across all pages.
https://honours.rdca.com/index.php?ID=averages&grade=121F,Batting/bowling averages (by grade),Under 12-1F Averages,200,1600,219,1,4,,NONE,MISSING,high,No equivalent on the new site. New site carries 42 table rows in total across all pages.
https://honours.rdca.com/index.php?ID=averages&grade=122,Batting/bowling averages (by grade),Under 12-2 Averages,200,19098,2651,1,42,,NONE,MISSING,high,No equivalent on the new site. New site carries 42 table rows in total across all pages.
https://honours.rdca.com/index.php?ID=averages&grade=122F,Batting/bowling averages (by grade),Under 12-2F Averages,200,1199,165,1,3,,NONE,MISSING,high,No equivalent on the new site. New site carries 42 table rows in total across all pages.
https://honours.rdca.com/index.php?ID=averages&grade=123,Batting/bowling averages (by grade),Under 12-3 Averages,200,18110,2448,1,40,,NONE,MISSING,high,No equivalent on the new site. New site carries 42 table rows in total across all pages.
https://honours.rdca.com/index.php?ID=averages&grade=124,Batting/bowling averages (by grade),Under 12-4 Averages,200,16821,2295,1,37,,NONE,MISSING,high,No equivalent on the new site. New site carries 42 table rows in total across all pages.
https://honours.rdca.com/index.php?ID=averages&grade=125,Batting/bowling averages (by grade),Under 12-5 Averages,200,4855,650,1,11,,NONE,MISSING,high,No equivalent on the new site. New site carries 42 table rows in total across all pages.
https://honours.rdca.com/index.php?ID=averages&grade=131,Batting/bowling averages (by grade),Under 13-1 Averages,200,1190,156,1,3,,NONE,MISSING,high,No equivalent on the new site. New site carries 42 table rows in total across all pages.
https://honours.rdca.com/index.php?ID=averages&grade=141,Batting/bowling averages (by grade),Under 14-1 Averages,200,22361,3088,1,49,,NONE,MISSING,high,No equivalent on the new site. New site carries 42 table rows in total across all pages.
https://honours.rdca.com/index.php?ID=averages&grade=142,Batting/bowling averages (by grade),Under 14-2 Averages,200,20876,2844,1,46,,NONE,MISSING,high,No equivalent on the new site. New site carries 42 table rows in total across all pages.
https://honours.rdca.com/index.php?ID=averages&grade=143,Batting/bowling averages (by grade),Under 14-3 Averages,200,20004,2747,1,44,,NONE,MISSING,high,No equivalent on the new site. New site carries 42 table rows in total across all pages.
https://honours.rdca.com/index.php?ID=averages&grade=144,Batting/bowling averages (by grade),Under 14-4 Averages,200,15882,2158,1,35,,NONE,MISSING,high,No equivalent on the new site. New site carries 42 table rows in total across all pages.
