repo_pdf,repo_pdf_bytes,repo_pdf_words,old_document,old_url,old_bytes,cosine_similarity
docs/RDCA-Code-of-Conduct.pdf,4612,255,Code of Conduct — Players 2025/26,https://www.rdca.com/_files/ugd/23872a_b2a5fd52c19d4d6b914086e876204765.pdf,196927,0.6129
docs/RDCA-Code-of-Conduct.pdf,4612,255,Code of Conduct — Captains 2025/26,https://www.rdca.com/_files/ugd/23872a_dd49cc301761453e9b8f9568a2f94e01.pdf,224498,0.6102
docs/RDCA-Code-of-Conduct.pdf,4612,255,Cricket Victoria Member Protection Policy 2024,https://www.cricketvictoria.com.au/wp-content/uploads/2024/11/2024-Member-Protection-Policy.pdf,357813,0.4474
docs/RDCA-Code-of-Conduct.pdf,4612,255,Member Protection Policy,https://www.rdca.com/_files/ugd/c846e3_a8fd9209cf6541a5968832c02220cf6a.pdf,1742688,0.4119
docs/RDCA-Code-of-Conduct.pdf,4612,255,Member Protection Policy,https://www.rdca.com/_files/ugd/c846e3_a8fd9209cf6541a5968832c02220cf6a.pdf,1742688,0.4119
docs/RDCA-Junior-Documents-README.pdf,2462,65,Code of Conduct — Players 2025/26,https://www.rdca.com/_files/ugd/23872a_b2a5fd52c19d4d6b914086e876204765.pdf,196927,0.3147
docs/RDCA-Junior-Documents-README.pdf,2462,65,Code of Conduct — Captains 2025/26,https://www.rdca.com/_files/ugd/23872a_dd49cc301761453e9b8f9568a2f94e01.pdf,224498,0.2923
docs/RDCA-Junior-Documents-README.pdf,2462,65,Women's East Rules 2025/26,https://www.rdca.com/_files/ugd/5d13eb_f761d7028cb34ed6a80ed7c314ab3c4f.pdf,636450,0.2775
docs/RDCA-Junior-Documents-README.pdf,2462,65,Registration Form,https://www.rdca.com/_files/ugd/c846e3_7ca10e17623b49e8ad0a6e9e4b08f6c3.pdf,77049,0.2555
docs/RDCA-Junior-Documents-README.pdf,2462,65,Registration Form,https://www.rdca.com/_files/ugd/c846e3_7ca10e17623b49e8ad0a6e9e4b08f6c3.pdf,77049,0.2555
