old_url,old_title,old_meta_description,old_canonical,old_robots,old_og_title,old_og_image,old_structured_data,matched_new_url,match_confidence,content_parity,redirect_required,proposed_redirect,new_title,new_meta_description,new_canonical,new_og,new_structured_data,new_indexable
https://www.rdca.com/,Home | Rdca,,https://www.rdca.com/,,Home | Rdca,NO,YES,/index.html,high,CHANGED,YES,301 / -> /index.html,RDCA — Ringwood & District Cricket Association,MISSING,MISSING,MISSING,MISSING,NO robots.txt / NO sitemap.xml on new site
https://www.rdca.com/about-umpires,About Umpires | Rdca,,https://www.rdca.com/about-umpires,,About Umpires | Rdca,NO,NO,/about-umpires.html,high,PARTIAL,YES,301 /about-umpires -> /about-umpires.html,About Umpires — RDCA,MISSING,MISSING,MISSING,MISSING,NO robots.txt / NO sitemap.xml on new site
https://www.rdca.com/about-veterans,About Veterans | Rdca,,https://www.rdca.com/about-veterans,,About Veterans | Rdca,NO,NO,/veterans.html,medium,COMPLETE,YES,301 /about-veterans -> /veterans.html,Veterans — RDCA,MISSING,MISSING,MISSING,MISSING,NO robots.txt / NO sitemap.xml on new site
https://www.rdca.com/appointments,Appointments | Rdca,,https://www.rdca.com/appointments,,Appointments | Rdca,NO,NO,/umpire-appointments.html,high,PARTIAL,YES,301 /appointments -> /umpire-appointments.html,Umpire Appointments — RDCA,MISSING,MISSING,MISSING,MISSING,NO robots.txt / NO sitemap.xml on new site
https://www.rdca.com/awards,Awards | Rdca,,https://www.rdca.com/awards,,Awards | Rdca,NO,NO,/awards.html,high,PARTIAL,YES,301 /awards -> /awards.html,Awards — RDCA,MISSING,MISSING,MISSING,MISSING,NO robots.txt / NO sitemap.xml on new site
https://www.rdca.com/become-an-umpire,Become an Umpire | Rdca,,https://www.rdca.com/become-an-umpire,,Become an Umpire | Rdca,NO,NO,/become-an-umpire.html,high,COMPLETE,YES,301 /become-an-umpire -> /become-an-umpire.html,Become an Umpire — RDCA,MISSING,MISSING,MISSING,MISSING,NO robots.txt / NO sitemap.xml on new site
https://www.rdca.com/blog,News | Rdca,,https://www.rdca.com/blog,,News | Rdca,NO,NO,/news.html,high,PARTIAL,YES,301 /blog -> /news.html,News & Articles — RDCA,MISSING,MISSING,MISSING,MISSING,NO robots.txt / NO sitemap.xml on new site
https://www.rdca.com/calendar-of-events,Calendar of Events | Rdca,,https://www.rdca.com/calendar-of-events,,Calendar of Events | Rdca,NO,NO,/events.html,high,PARTIAL,YES,301 /calendar-of-events -> /events.html,Events — RDCA,MISSING,MISSING,MISSING,MISSING,NO robots.txt / NO sitemap.xml on new site
https://www.rdca.com/child-safety,Child Safety | Rdca,,https://www.rdca.com/child-safety,,Child Safety | Rdca,NO,NO,/child-safety.html,high,COMPLETE,YES,301 /child-safety -> /child-safety.html,Child Safety — RDCA,MISSING,MISSING,MISSING,MISSING,NO robots.txt / NO sitemap.xml on new site
https://www.rdca.com/copy-2-of-rep-team-girls,Rep Team U17 Girls | Rdca,,https://www.rdca.com/copy-2-of-rep-team-girls,,Rep Team U17 Girls | Rdca,NO,NO,/placeholder.html,high,MISSING,YES,301 /copy-2-of-rep-team-girls -> /placeholder.html,Page — RDCA,MISSING,MISSING,MISSING,MISSING,NO robots.txt / NO sitemap.xml on new site
https://www.rdca.com/copy-of-contacts-1,Umpires | Rdca,,https://www.rdca.com/copy-of-contacts-1,,Umpires | Rdca,NO,NO,/umpires.html,high,PARTIAL,YES,301 /copy-of-contacts-1 -> /umpires.html,Umpires — RDCA,MISSING,MISSING,MISSING,MISSING,NO robots.txt / NO sitemap.xml on new site
https://www.rdca.com/copy-of-documents,Womens Documents | Rdca,,https://www.rdca.com/copy-of-documents,,Womens Documents | Rdca,NO,NO,/documents.html,medium,PARTIAL,YES,301 /copy-of-documents -> /documents.html,"Documents, Policies & Forms — RDCA",MISSING,MISSING,MISSING,MISSING,NO robots.txt / NO sitemap.xml on new site
https://www.rdca.com/copy-of-info,Policies | Rdca,,https://www.rdca.com/copy-of-info,,Policies | Rdca,NO,NO,/documents.html,medium,PARTIAL,YES,301 /copy-of-info -> /documents.html,"Documents, Policies & Forms — RDCA",MISSING,MISSING,MISSING,MISSING,NO robots.txt / NO sitemap.xml on new site
https://www.rdca.com/copy-of-life-members,Copy of Life Members OLD | Rdca,,https://www.rdca.com/copy-of-life-members,,Copy of Life Members OLD | Rdca,NO,NO,/honours.html,high,OBSOLETE-CANDIDATE,YES,301 /copy-of-life-members -> /honours.html,Honours & Records — RDCA,MISSING,MISSING,MISSING,MISSING,NO robots.txt / NO sitemap.xml on new site
